,order_id,customer_id,product_id,quantity,order_date,new_status,product_name,category,price,email,reg_date,new_name,first_name,last_name,valid_email,valid_phone,new_country
0,5001,9,122.0,2.0,2025-04-13,delivered,Right,Other,0.0,thomas24@hotmail.com,2025-05-26,Jennifer Simmons ,Jennifer,Simmons,True,79502514879,Russia
1,5002,11,129.0,1.0,2025-03-02,shipped,Too,Smartphones,643.98,llawson@@mail.ru,2023-09-30,Ryan Wolfe ,Ryan,Wolfe,False,79040542247,Russia
2,5003,7,130.0,1.0,2025-07-18,delivered,Unknown product,Accessories,0.0,fieldscynthia@hotmail.com,2024-08-05,Michael Harris ,Michael,Harris,True,79258309953,Russia
3,5004,3,126.0,1.0,2024-09-15,delivered,Job,Other,1047.51,sarah96@ramirez.com,2024-08-24,Charles Rush ,Charles,Rush,True,79101763056,Russia
4,5005,16,114.0,2.0,2025-02-05,shipped,Unknown product,Other,1024.22,tracymyers@hester.net,2025-01-10,Matthew Ward ,Matthew,Ward,True,79576154882,Russia
5,5006,23,101.0,2.0,2025-06-21,canceled,Unknown product,Laptops,0.0,merceryolanda@gomez-anderson.com,2025-03-12,Jeffrey Martinez ,Jeffrey,Martinez,True,,Russia
6,5007,18,118.0,1.0,2025-02-10,pending,Unknown product,Laptops,1431.54,jedwards@gmail.com,2024-08-29,Tracy Fisher ,Tracy,Fisher,True,,Russia
7,5008,19,112.0,1.0,2024-09-11,delivered,Congress,Laptops,1624.54,kaitlyn59@riggs.com,2024-01-30,Eugene Henderson ,Eugene,Henderson,True,79404637389,Russia
8,5009,3,124.0,1.0,2025-04-15,pending,Unknown product,Smartphones,97.55,sarah96@ramirez.com,2024-08-24,Charles Rush ,Charles,Rush,True,79101763056,Russia
9,5010,6,110.0,1.0,2025-03-21,pending,Can,Smartphones,1899.22,ulewis@pacheco.net,2023-11-12,Gregory Baird ,Gregory,Baird,True,,Russia
10,5011,30,109.0,1.0,2025-04-21,pending,Unknown product,Other,1713.74,tracy57@yahoo.com,2024-08-16,Julie Bryant ,Julie,Bryant,True,79753619358,Russia
11,5012,20,121.0,1.0,2024-12-02,shipped,Important,Other,334.74,maria43@hotmail.com,2025-03-25,Rick Flores ,Rick,Flores,True,79865427638,Russia
12,5013,2,111.0,1.0,2024-11-06,canceled,Unknown product,Other,1720.52,anthonyhodge@yahoo.com,2025-03-02,Kimberly Gonzalez ,Kimberly,Gonzalez,True,79034259653,Russia
13,5014,24,102.0,1.0,2024-11-01,canceled,Then,Laptops,1358.09,amberhunt@yahoo.com,2025-04-10,Melissa Jensen ,Melissa,Jensen,True,79856756493,Russia
14,5015,20,115.0,1.0,2025-04-25,canceled,Unknown product,Smartphones,930.31,maria43@hotmail.com,2025-03-25,Rick Flores ,Rick,Flores,True,79865427638,Russia
15,5016,10,112.0,3.0,2025-02-24,shipped,Congress,Laptops,1624.54,monica07@hotmail.com,2025-01-07,Todd Moore ,Todd,Moore,True,79293750665,Russia
16,5017,1,117.0,1.0,2024-10-22,pending,Unknown product,Laptops,713.72,ashley67@gmail.com,2024-03-29,Kelly Sanders ,Kelly,Sanders,True,,Russia
17,5018,1,124.0,3.0,2024-11-22,delivered,Unknown product,Smartphones,97.55,ashley67@gmail.com,2024-03-29,Kelly Sanders ,Kelly,Sanders,True,,Russia
18,5019,7,112.0,1.0,2024-12-03,canceled,Congress,Laptops,1624.54,fieldscynthia@hotmail.com,2024-08-05,Michael Harris ,Michael,Harris,True,79258309953,Russia
