order_id,customer_id,product_id,order_date,quantity,new_status,product_name,category,price,email,new_name,first_name,last_name,valid_email,new_country,reg_date,valid_phone,e_mail
1,43,15.0,2025-08-03,1.0,delivered,Design,Smrtphone,1828.31,sarah96@ramirez.com,Charles Rush ,Charles,Rush,True,Russia,2024-08-24,79101763056,sarah96@ramirez.com
2,11,17.0,2025-06-25,1.0,in progress,Edge,Laptops,682.07,ymerritt@bennett.com,Katrina Mann ,Katrina,Mann,True,USA,2025-07-12,79009549974,ymerritt@bennett.com
3,33,18.0,2025-06-15,1.0,in progress,Easy,Smartphones,1606.53,jessicakelly,Jessica Kelly ,Jessica,Kelly,False,Brasil,2025-03-19,79095975148,
4,7,18.0,2025-05-30,1.0,shipped,Easy,Smartphones,1606.53,brendadecker@smith-bell.com,Jasmine Osborne ,Jasmine,Osborne,True,Germany,2025-08-11,79192420456,brendadecker@smith-bell.com
6,16,7.0,2025-07-24,1.0,canceled,Believe,Other,2067.33,gardnermiguel@hotmail.com,Jose Hawkins ,Jose,Hawkins,True,France,2025-02-18,79616991988,gardnermiguel@hotmail.com
7,26,2.0,2025-07-31,1.0,delivered,Arrive,Laptops,2386.61,matthew02@gmail.com,Hailey Rush ,Hailey,Rush,True,Russia,2025-09-27,79421450404,matthew02@gmail.com
8,13,17.0,2025-08-14,1.0,delivered,Edge,Laptops,682.07,elizabeth10@hughes.com,Stacey Barnes ,Stacey,Barnes,True,USA,2025-03-07,79646182670,elizabeth10@hughes.com
9,13,9.0,2025-08-04,1.0,delivered,Relate,Other,1662.84,elizabeth10@hughes.com,Stacey Barnes ,Stacey,Barnes,True,USA,2025-03-07,79646182670,elizabeth10@hughes.com
11,35,5.0,2025-07-12,1.0,in progress,Main,Smrtphone,186.69,sara41@yahoo.com,Amanda David ,Amanda,David,True,India,2025-02-02,79200674273,sara41@yahoo.com
12,9,16.0,2025-06-09,1.0,pending,Technology,Accessories,784.63,paulwilliams,Paul Williams ,Paul,Williams,False,India,2025-03-25,79516226023,
13,2,9.0,2025-06-09,1.0,in progress,Relate,Other,1662.84,johnsnicholas@gmail.com,Mia Martin ,Mia,Martin,True,India,2025-07-16,79019923782,johnsnicholas@gmail.com
14,32,11.0,2025-09-12,1.0,shipped,Her,Laptops,843.89,krodriguez@yahoo.com,Andrea Ayers ,Andrea,Ayers,True,Russia,2025-07-05,79751113117,krodriguez@yahoo.com
15,33,5.0,2025-06-10,1.0,delivered,Main,Smrtphone,186.69,jessicakelly,Jessica Kelly ,Jessica,Kelly,False,Brasil,2025-03-19,79095975148,
16,39,20.0,2025-06-19,1.0,canceled,Lawyer,Other,705.58,jill36@barnes.com,Timothy Rodriguez ,Timothy,Rodriguez,True,USA,2025-05-17,79821228902,jill36@barnes.com
17,45,19.0,2025-07-16,1.0,delivered,Still,Other,1485.31,joneskaren@bennett.info,James Grant ,James,Grant,True,Russia,2024-10-31,79795843835,joneskaren@bennett.info
18,24,15.0,2025-07-23,1.0,delivered,Design,Smrtphone,1828.31,raymondbrett@yahoo.com,Edward Odonnell ,Edward,Odonnell,True,Russia,2025-04-10,79357005806,raymondbrett@yahoo.com
19,27,11.0,2025-07-13,1.0,pending,Her,Laptops,843.89,ruizamber@yahoo.com,Matthew Gross ,Matthew,Gross,True,France,2025-09-10,79051099453,ruizamber@yahoo.com
20,22,7.0,2025-06-22,1.0,shipped,Believe,Other,2067.33,michael75@gmail.com,Heidi Caldwell ,Heidi,Caldwell,True,China,2025-09-22,79235349358,michael75@gmail.com
21,25,2.0,2025-09-14,1.0,pending,Arrive,Laptops,2386.61,deborahadams@yahoo.com,John Cannon ,John,Cannon,True,USA,2025-04-21,79693054915,deborahadams@yahoo.com
22,33,9.0,2025-05-29,1.0,shipped,Relate,Other,1662.84,jessicakelly,Jessica Kelly ,Jessica,Kelly,False,Brasil,2025-03-19,79095975148,
23,36,13.0,2025-09-23,1.0,canceled,Task,Laptoop,165.97,kristi73@walker-bates.biz,Samantha Lewis ,Samantha,Lewis,True,Russia,2025-07-15,79620890498,kristi73@walker-bates.biz
24,8,9.0,2025-09-11,1.0,in progress,Relate,Other,1662.84,victoria38@hooper-hernandez.net,Jonathan Holloway ,Jonathan,Holloway,True,India,2025-04-18,79539477117,victoria38@hooper-hernandez.net
25,21,2.0,2025-07-19,1.0,delivered,Arrive,Laptops,2386.61,heather10@yahoo.com,Lisa Smith ,Lisa,Smith,True,India,2025-05-06,79862497624,heather10@yahoo.com
26,38,13.0,2025-08-18,1.0,pending,Task,Laptoop,165.97,wallacemichael@yahoo.com,Beth Stevens ,Beth,Stevens,True,Germany,2025-01-29,79500406120,wallacemichael@yahoo.com
27,37,23.0,2025-09-13,1.0,delivered,,,,mitchellthomas@hotmail.com,Colin Jones ,Colin,Jones,True,China,2025-07-03,79641972849,mitchellthomas@hotmail.com
28,29,9.0,2025-08-08,1.0,in progress,Relate,Other,1662.84,justin65@williams-smith.com,James Watts ,James,Watts,True,Russia,2025-09-19,79895990279,justin65@williams-smith.com
29,37,12.0,2025-08-08,1.0,delivered,Less,Laptoop,296.53,mitchellthomas@hotmail.com,Colin Jones ,Colin,Jones,True,China,2025-07-03,79641972849,mitchellthomas@hotmail.com
30,30,17.0,2025-06-23,1.0,canceled,Edge,Laptops,682.07,vincent73@rose-garcia.org,Derrick Martin ,Derrick,Martin,True,India,2025-08-07,79688916226,vincent73@rose-garcia.org
