customer_id,name,email,phone,reg_date,country
1,Kelly Sanders,ashley67@gmail.com,85084,2024-03-29,ru
2,Kimberly Gonzalez,anthonyhodge@yahoo.com,89034259653,2025-03-02,RUS
3,Charles Rush,sarah96@ramirez.com,+79101763056,2024-08-24,Russia
4,Mariah Griffith,david53@gmail.com,62995,2024-09-19,Russia
5,James Grant,joneskaren@bennett.info,89795843835,2024-10-31,RUS
6,Gregory Baird,ulewis@pacheco.net,81056,2023-11-12,RUS
7,Michael Harris,fieldscynthia@hotmail.com,89258309953,2024-08-05,RUS
8,Christopher Young,estradadavid@gmail.com,+79984360334,2023-11-15,ru
9,Jennifer Simmons,thomas24@hotmail.com,+79502514879,2025-05-26,RUS
10,Todd Moore,monica07@hotmail.com,89293750665,2025-01-07,RU
11,Ryan Wolfe,llawson@@mail.ru,89040542247,2023-09-30,ru
12,Shawn Jones,patrickmarshall@yahoo.com,71111,2024-02-24,RU
13,Sheila Pham PhD,thomasmoore@hobbs-lee.com,89604160177,2024-12-24,RUS
14,Ray Hansen,ggoodwin@yahoo.com,89509258538,2024-03-16,RU
15,Matthew Phillips,kylebenson@deleon.com,+79044597801,2024-12-13,ru
16,Matthew Ward,tracymyers@hester.net,+79576154882,2025-01-10,Russia
17,Cassandra Stewart,lkirby@@mail.ru,63362,2023-12-22,RUS
18,Tracy Fisher,jedwards@gmail.com,27149,2024-08-29,ru
19,Eugene Henderson,kaitlyn59@riggs.com,89404637389,2024-01-30,RUS
20,Rick Flores,maria43@hotmail.com,89865427638,2025-03-25,RU
21,Clarence Robertson,gbailey@gmail.com,+79357112333,2024-09-29,RU
22,Miss Amy Bates DDS,dbooth@hotmail.com,+79482525763,2024-09-19,RUS
23,Jeffrey Martinez,merceryolanda@gomez-anderson.com,24867,2025-03-12,Russia
24,Melissa Jensen,amberhunt@yahoo.com,+79856756493,2025-04-10,RUS
25,Kathryn Mcconnell,huntdanny@hotmail.com,89957835158,2025-01-18,RU
26,Tara Miller,ososa@nelson-garcia.com,+79017671811,2025-06-28,ru
27,Thomas Saunders,richard22@yahoo.com,85671,2025-06-24,ru
28,Daniel Ayala,dawn14@gmail.com,89838177711,2024-12-13,Russia
29,Nicholas Watson,nrichards@hotmail.com,89436249832,2025-04-26,Russia
30,Julie Bryant,tracy57@yahoo.com,89753619358,2024-08-16,RUS
